                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.84898,                 0.8118,                 1.2315,                0.82102,                0.82497,                 0.8655,                0.63125,                 1.0762,                0.84217,                 1.3153,              0.0011178,              0.0011178,              0.0011178
                     35,                 0.8509,                0.82101,                 1.2389,                0.82928,                0.81245,                 0.8555,                0.63822,                 1.0474,                0.83339,                 1.3121,              0.0011083,              0.0011083,              0.0011083
                     36,                0.83993,                 0.8007,                 1.2365,                0.84877,                0.81005,                 0.8649,                0.64436,                 1.1256,                0.85188,                 1.3632,              0.0010989,              0.0010989,              0.0010989
                     37,                0.85298,                0.81464,                 1.2379,                0.83132,                0.79101,                0.84867,                0.64608,                 1.0678,                0.94225,                 1.3399,              0.0010895,              0.0010895,              0.0010895
                     38,                0.82945,                0.78134,                 1.2239,                0.82009,                0.84022,                0.87182,                0.66417,                 1.0406,                 0.7647,                 1.3041,                0.00108,                0.00108,                0.00108
                     39,                0.84018,                0.79296,                  1.233,                0.85068,                0.83012,                 0.8732,                0.64945,                 1.0514,                0.80622,                 1.3123,              0.0010706,              0.0010706,              0.0010706
                     40,                0.82632,                0.77628,                 1.2225,                  0.854,                0.84627,                0.89906,                0.67892,                 1.0297,                0.79631,                 1.3027,              0.0010612,              0.0010612,              0.0010612
                     41,                0.83181,                0.77794,                  1.225,                0.90464,                0.79168,                0.88642,                0.67106,                 1.1223,                0.81959,                 1.3611,              0.0010517,              0.0010517,              0.0010517
                     42,                0.83455,                0.78041,                 1.2276,                0.85502,                0.80288,                0.86013,                0.64803,                   1.04,                0.87921,                 1.3042,              0.0010423,              0.0010423,              0.0010423
                     43,                 0.8171,                0.77238,                 1.2174,                0.80753,                0.84645,                0.87385,                0.65763,                 1.0405,                0.84848,                 1.3129,              0.0010329,              0.0010329,              0.0010329
                     44,                0.82057,                0.76173,                 1.2223,                0.79533,                  0.838,                0.82786,                 0.6304,                0.99983,                0.87773,                 1.2816,              0.0010234,              0.0010234,              0.0010234
                     45,                0.81542,                0.76034,                 1.2126,                0.82352,                0.83366,                0.86414,                0.65715,                 1.0446,                0.77049,                 1.2907,               0.001014,               0.001014,               0.001014
                     46,                0.82599,                0.76258,                 1.2209,                0.83271,                0.82488,                0.87743,                0.68255,                  1.038,                0.79032,                 1.3003,              0.0010046,              0.0010046,              0.0010046
                     47,                 0.7928,                0.72814,                 1.1974,                0.84868,                0.83863,                0.88747,                0.68257,                 1.0009,                0.77597,                 1.2631,             0.00099516,             0.00099516,             0.00099516
                     48,                0.79368,                0.73604,                 1.2015,                0.83174,                   0.84,                0.86622,                0.65542,                 1.0438,                0.81474,                 1.3202,             0.00098572,             0.00098572,             0.00098572
